City,State Name,total crime rate (per 1000),Education Ranking ,cost of living index,Housing Budget,Sunshine,Air quailty,Population Density,Military,Latitude,Longitude
Anchorage,Alaska,55.05837049,113,110.7,1695,43,6,66.1,FALSE,61.1508,-149.1091
Midland,Texas,14.17577967,114,97.8,2500,Nah,7.5,722.2,FALSE,32.0243,-102.1147
Cedar Rapids,Iowa,35.93095883,115,88.1,950,Nah,8.8,712.9,FALSE,41.9662,-91.6783
Winston-Salem,North Carolina,51.85,116,91.2,1249,Nah,9.2,712.9,FALSE,36.1029,-80.261
Chattanooga,Tennessee,66.27513088,117,91.2,1350,55,9.4,491.9,FALSE,35.066,-85.2481
Lubbock,Texas,56.14410049,118,88.8,1195,72,6.2,736.6,FALSE,33.5657,-101.8879
Colorado Springs,Colorado,42.5165955,119,102.2,1600,Nah,6,930,FALSE,38.8674,-104.7605
Eugene,Oregon,39.605504,120,108.4,1595,Nah,9.9,1489.3,FALSE,44.0564,-123.1174
Anaheim,California,26.49788791,121,106.3,2700,Nah,13.4,2711.7,FALSE,33.839,-117.8574
Spokane,Washington,66.08840822,122,100.4,1300,52,11.4,1230.8,FALSE,47.6671,-117.433
Reno,Nevada,26.58944993,123,107.4,1750,81,12.4,889.9,FALSE,39.5497,-119.8483
Jacksonville,Florida,62.07335621,124,99,2200,64,8.8,466.3,FALSE,30.3322,-81.6749
Clarksville,Tennessee,63.84650948,125,88.7,1195,Nah,10.4,605.6,FALSE,36.5692,-87.3413
Vancouver,Washington,37.22018656,126,99.8,1795,Nah,6.4,1447.8,FALSE,45.6366,-122.5967
Phoenix,Arizona,56.84028528,127,104.3,1450,85,12.7,1235.5,FALSE,33.5722,-112.0892
Las Vegas,Nevada,33.028,128,100.7,1500,84,9.9,1754.7,FALSE,36.2333,-115.2654
Toledo,Ohio,44.14544524,129,87.5,800,50,8.9,1319.7,FALSE,41.6638,-83.5827
Green Bay,Wisconsin,21.45877781,130,91.4,875,55,8.7,887.2,FALSE,44.5148,-87.9895
